query_id,answer
71,1951 4515 4545 4214 4234 4219 2646 2665 2698 4308
72,2698 4234 4214 4361 4362 1951 2196 2521 2944 1909
73,4440 4395 4219 2191 2646 4424 4389 4331 2696 3026
74,4219 2865 2646 4400 1966 2696 4384 3078 4234 3470
75,4219 2646 4234 4384 4361 1909 1966 4396 4331 2865
76,1951 4214 4234 4362 2698 4460 4361 4503 2681 4198
77,4515 4545 4219 2646 1951 4308 4396 4214 4134 4328
78,4328 1909 4234 4396 4286 1951 1901 4338 4308 1958
79,4219 2865 1966 2646 2696 4384 4400 4387 4361 3689
80,3861 2040 4219 4320 1951 4395 4389 4214 4308 4384
81,4219 2646 1966 2865 4400 4234 4384 2866 2831 4408
82,4308 4400 4219 4234 4408 2646 4403 4532 2964 2831
83,4234 1909 4396 4361 4308 3265 4328 4286 1907 4532
84,4400 4234 2865 1966 2646 4219 3006 4384 3209 4403
85,2646 4400 2962 4219 4397 2922 2295 4234 4396 1907
86,1951 3467 4320 4234 4319 4308 4361 4408 4214 2964
87,4361 2646 4234 1966 4219 2865 1909 4308 4331 1951
88,1951 4234 3467 4214 2698 4320 2295 4331 4308 2922
89,1951 3467 2220 4234 4320 4286 4328 2923 4396 4251
90,4219 2865 2646 1966 4400 2696 4384 3078 3470 4234
91,2646 4219 4214 4234 1901 4308 4387 4329 4265 4391
92,1951 4234 2153 4214 4328 2154 4396 4219 2698 4361
93,4387 4219 4384 2696 4400 2646 3470 3078 1958 4234
94,3147 3260 4411 2062 4110 3431 2060 2057 2061 2071
95,1951 3436 3467 4328 4286 1901 4308 4532 4234 4396
96,4219 4400 4234 1958 1966 4384 2831 2865 4403 4005
97,4400 2646 4403 2865 1966 4219 2831 4234 3209 2408
98,1951 2220 4234 4320 4328 2964 3128 3265 4214 4219
99,4219 1958 4387 4234 2646 4361 4400 2865 1909 4384
100,4328 4286 4396 3436 3467 1951 1901 4234 1907 4214
101,4219 2865 2646 4400 1966 4384 4331 2831 4361 4308
102,4451 4214 2698 3995 4445 2665 2695 4290 4209 4227
103,4219 2646 4408 4331 4384 4322 4308 4234 4113 2172
104,4219 2865 4400 4384 4387 2646 1966 2831 4361 4308
105,4219 2646 4384 3077 4313 4440 3078 1966 4308 4400
106,4219 2646 4331 4408 4234 4308 4384 2521 2191 1899
107,1909 2521 2802 3843 2944 3168 3149 1918 4234 4328
108,1951 4219 4308 4234 2646 4214 4400 2203 4395 2204
109,4361 2646 4219 4234 2865 4308 1966 4384 4400 4331
110,4219 4308 2646 4408 4400 4234 2191 4384 2865 4232
111,4219 2646 4361 1966 2865 4308 4234 4233 4322 4010
112,4219 2646 4400 1966 2865 3470 4384 2696 3078 4389
113,1951 4219 2232 4320 4214 4234 1960 4153 4046 4050
114,4219 4395 4389 4384 4214 2646 4400 4424 4440 3078
115,4395 4424 4454 1842 4528 4329 4523 4526 2949 4529
116,4219 2646 4308 4400 4232 4395 4408 4384 4111 4234
117,1909 4396 4286 4234 4328 1901 2248 4308 4249 4296
118,4219 4440 2646 3077 4384 4389 3078 4313 2521 4395
119,4219 2646 4308 4384 3077 4234 4328 1966 4395 1951
120,4219 2646 4384 1966 4440 4389 4361 2865 3567 4313
121,4219 4384 4440 2646 4313 1966 3078 2865 3077 4389
122,4451 4214 2698 2665 3995 4366 3478 4286 1951 4408
123,4219 2646 4400 1966 2865 4331 4308 4384 4234 4361
124,1909 4234 4328 4408 4400 4396 4286 2831 2511 1960
125,4219 4440 4384 2646 2521 4387 4389 1958 1966 2865
126,4328 4234 4396 3591 1909 1907 4385 4133 4308 1951
127,4361 4384 4219 4234 2646 1966 2865 2943 4308 4313
128,4219 2646 2865 4400 1966 4384 4331 2831 4361 4308
129,4308 4219 4234 4400 4408 4361 2646 1960 2831 4403
130,4219 4361 4234 2646 4308 4384 1951 4403 2865 4400
131,4440 2895 2220 4219 4384 3552 1966 4313 2646 2894
132,2068 4361 3871 2062 4219 2788 4411 4396 3147 2057
133,4234 4308 1951 2698 4400 4214 3088 4403 4361 1909
134,4328 1909 4234 3861 4403 4329 3777 4399 1958 1918
135,4387 4219 4384 2646 2696 4361 4400 1958 3470 3689
136,4219 2646 1966 2865 3470 4384 4509 2696 3567 2886
137,4219 4308 4234 4403 2646 4396 2408 4361 4400 1954
138,3147 3150 2060 4404 3261 4205 2857 4109 4108 2061
139,4219 2646 4308 4234 4408 4400 1899 4384 4331 4214
140,4219 2646 4395 4389 4214 4424 4509 1966 4384 3567
141,1909 4234 4328 4387 4403 4400 4396 1918 4219 4308
142,4219 2865 1966 2646 4384 1958 4400 4387 4508 2866
143,1951 4308 4320 4234 1901 4214 3483 3467 4219 2698
144,4219 2646 4389 4384 3565 3127 4308 4440 4304 4136
145,4234 1951 2698 4286 4362 4214 4328 4396 3265 1901
146,4219 4361 4400 4234 4403 1951 4387 2646 1958 4503
147,4219 2646 1966 4387 4384 1958 2865 4504 4389 4509
148,4219 2865 2646 1966 4400 4384 4234 2866 4331 4406
149,2646 4219 2865 1966 4400 4384 4361 4234 4509 4308
150,2038 4445 4283 4234 3593 2295 2791 3400 4137 2922
151,2646 4400 2865 1966 4219 4403 4234 2831 4308 4407
152,4219 2646 4361 4384 4387 1966 2943 2865 4308 4313
153,1907 1909 4328 4396 3784 4286 1901 4234 1918 3419
154,4328 4396 1907 4286 1909 4234 3436 3467 4362 2408
155,2646 4219 4403 4400 4234 2865 1966 4387 2408 4407
156,4219 2865 4400 4384 2646 2696 4308 2802 3168 2521
157,4384 4219 2521 1966 2802 2646 3149 2944 3168 4400
158,1951 3467 4320 4214 2698 4319 4234 4328 1901 4362
159,2646 4219 2865 1966 4384 4361 4400 4509 3006 3567
160,1909 4328 4396 1918 4234 4516 4517 1958 4286 3419
161,2665 4214 2698 3553 4398 4231 4308 1951 4361 3168
162,4219 2646 2696 4384 2865 4234 4400 1966 4005 4313
163,1951 4286 4214 4328 4234 4308 2698 4320 4396 3265
164,4400 2646 4234 1966 4219 2865 3006 4384 4308 4509
165,4219 2646 1966 4384 2865 3078 4313 3470 4361 2037
166,4234 1951 4214 2698 2295 4361 3467 2196 4219 4400
167,4219 4400 2865 1966 2646 2964 4234 4384 2288 4005
168,1951 4234 4403 2646 4286 1958 4400 2698 3467 4214
169,4219 4400 2865 2646 1966 4234 2696 2831 4331 3078
170,4387 1958 2696 4219 4361 1966 4234 4400 4384 4406
171,4219 4440 2865 2646 1966 2923 4384 2696 4389 4331
172,4219 2646 4384 4389 4440 2865 4395 4361 4308 2521
173,4440 3643 3128 4389 2148 3909 2886 2696 2646 4219
174,1907 4396 1909 4234 4403 2831 4286 4407 4214 4328
175,4451 2698 4214 2922 2295 2663 2968 3314 3995 4209
176,4219 4440 2646 4389 4384 2865 1966 4308 2521 4331
177,1951 4214 2646 2698 4219 2665 4400 4234 3467 4308
178,1951 4320 3467 2232 2698 4532 4214 3861 4308 4234
179,4423 3028 4372 4364 4318 2914 4220 2917 4232 2909
180,4389 4219 2646 3565 2943 4387 4225 4233 4396 1954
181,4219 3565 2646 4389 4386 4384 4308 4440 4285 4408
182,4219 1909 1958 4513 4234 2646 2865 3055 3689 4329
183,1951 2919 3861 4328 4320 3467 3783 4286 4354 4234
184,4219 2646 2865 1966 4400 4406 3844 2696 4234 4384
185,1951 4214 4320 2232 2698 2665 4308 1901 3469 4234
186,4440 3254 4395 4319 2923 2894 4424 2886 2887 4389
187,4400 2831 4219 4234 4403 2646 2865 1966 4384 4408
188,4400 4219 2865 4234 2646 4361 1966 2696 4384 4308
189,4219 4400 4387 4403 2865 3689 3055 1966 2646 4308
190,4234 3580 4361 4204 3467 4219 3579 1951 4395 2097
191,1951 4234 4214 2220 4532 4050 3128 1909 4320 3643
192,4396 4286 1918 1909 4328 4361 2295 1958 4234 4504
193,2646 4403 4400 4219 2865 4387 1966 2831 2408 4234
194,1951 3467 4234 4328 4286 4532 1907 2511 4396 4362
195,4395 4424 4219 4214 2105 2646 3026 4389 4542 4106
196,4219 2646 4387 2865 4384 1966 3567 4361 4504 4509
197,4219 2646 4389 4384 3565 1966 4395 3078 2865 4361
198,1951 4214 3467 4354 2232 4320 1901 2698 4234 4384
199,4219 4361 4234 2646 4406 2865 4384 1966 3844 4531
200,4219 1966 4400 2646 2865 4111 2696 4308 2866 4384
201,4400 4219 2865 2646 2203 4387 2204 3932 2696 2831
202,4219 2646 4308 4389 4440 3127 4384 4366 4400 2863
203,4219 4387 4384 2646 1958 1966 2865 4504 4389 2866
204,1909 4234 4328 4396 4286 3265 1958 4338 4308 1901
205,4234 4361 2646 4219 1951 2943 4214 4308 1966 2698
206,4234 4308 4403 4400 3088 2646 2698 2295 3007 4219
207,4219 4214 2646 4395 3026 4424 4389 4532 2698 2865
208,4219 4387 2646 4384 4361 2865 1958 2943 4400 1909
209,1951 4361 2646 4219 4214 4408 4400 2698 4532 4308
210,4234 1909 4361 4384 4400 4219 2646 4328 3567 4406
211,2646 4219 2865 1966 4384 4400 4234 3078 2866 2831
212,4286 4328 4396 2665 4214 1951 4234 2863 4308 3436
213,4219 4440 4384 2646 1966 4389 3565 4313 3470 3077
214,4219 2646 4395 3567 4400 2865 4384 1966 4509 3470
215,4328 4234 1909 4396 4219 4408 4400 4403 4286 2511
216,4440 2209 2794 4451 3862 4375 2889 2948 4299 4248
217,4219 4214 2646 4366 4308 2698 4400 4460 4451 4290
218,4219 4403 3078 3419 2646 4384 4232 4400 4389 4387
219,4219 4308 2646 3009 4408 4396 1960 4384 4234 4232
220,4440 4389 4337 4439 2220 4373 4395 4219 4202 2696
221,4219 3565 4389 2646 4386 4440 4384 4285 4531 4308
222,1951 4234 4396 4328 1907 4286 4214 2071 1909 4532
223,2646 4219 4523 4389 4257 4440 4384 4018 4308 1951
224,4400 4219 1966 4387 4384 4308 2831 2696 4408 2865
225,4219 4234 4440 4371 2646 3169 4406 4309 4361 4384
226,2204 3932 4307 4372 4440 2968 2203 4234 4401 2911
227,4328 4396 1907 3436 1909 4286 4234 3168 3467 2802
228,4219 2865 2646 1966 4400 4234 2696 4406 3844 4384
229,4219 1958 1966 2646 2865 4384 4387 4400 4361 4234
230,4387 4400 4219 2696 2646 2865 1958 4234 3078 4384
231,4234 4403 4396 4308 4328 4286 4532 1907 1909 2831
232,4219 4387 2646 2865 1958 1966 3168 4400 4384 4532
233,2220 4532 3128 3643 1951 4214 2923 2943 2155 4361
234,4308 4234 4387 1910 4403 4361 1951 4219 1909 4331
235,4219 4387 2646 4384 2865 3689 3055 4361 1966 4532
236,4400 4219 2646 2865 1966 4403 4234 4361 4384 3209
237,4396 1909 3265 4234 4219 1907 4496 2646 4361 1918
238,1909 4328 4396 4234 1918 3265 4286 4446 4046 4133
239,4364 4423 3786 4232 4307 3747 2323 2693 3536 4371
240,4328 4286 4396 4234 1901 1899 3436 3256 4214 1907
241,4328 4396 1907 4234 4286 4308 4433 4219 4331 4400
242,4234 4328 4286 4396 4219 4214 4308 2698 1951 1909
243,3844 4361 4406 4219 4384 4400 4234 2646 4387 3972
244,1951 4532 3467 4214 4234 4362 4320 2698 4308 2232
245,4219 4387 2646 4384 2865 4400 1966 4234 2696 4386
246,4219 4400 2865 1966 2646 2696 4334 3078 4384 3470
247,4219 2646 4387 4384 4361 2037 1958 3470 2865 3567
248,4440 4371 4186 4267 4377 4375 4314 3737 2295 2922
249,4219 1966 2865 4384 3078 4313 2646 2696 3470 4400
250,1951 4214 4308 4320 4234 2698 2962 1899 1901 2964
251,4219 4400 4308 4384 2646 2865 2696 3078 4234 3470
252,2894 3254 2886 4440 3261 4361 4371 4389 2923 4205
253,1909 4328 4234 4396 4286 4308 1958 1918 4446 4400
254,1951 3168 4320 2944 3843 3467 1961 4422 4214 4304
255,1909 4400 4308 2802 2521 1836 4234 4219 3843 2944
256,4219 4400 2865 2646 1966 2696 4384 4387 4234 3482
257,4220 4328 4234 3860 4286 4526 4430 4523 4256 4314
258,4234 2665 4361 4153 4050 4214 2675 4308 3561 3265
259,4219 4400 2646 2865 1966 4384 4403 4234 4308 2964
260,1951 3467 4320 4234 3861 4214 2698 4361 4286 4050
261,4400 4219 4387 4384 2646 4403 2865 4408 1966 2802
262,4396 4286 1951 4234 1907 4403 1909 4328 3419 3467
263,4518 4530 4162 4224 4328 3993 4510 4440 3783 3315
264,4309 2674 3467 2521 3843 2944 4523 4520 4361 4328
265,2646 4219 1966 2865 4384 4387 2866 4508 4389 4504
266,2698 4214 4451 3995 1951 4234 4366 4445 4209 4308
267,4400 4219 4387 1966 2865 4308 4403 2831 4532 4012
268,1909 4328 4234 4286 4396 1958 4338 3265 4308 4446
269,4308 4214 2698 4234 4361 4451 4400 3995 4219 2646
270,4234 4389 1951 2646 2675 4320 4286 4403 2909 4361
271,4328 4396 1907 1909 4286 4234 4385 4308 3592 1918
272,4219 2646 2865 1966 4384 4387 1958 2866 4400 4508
273,1951 3467 4532 2962 4234 4320 4366 4214 3533 3861
274,4328 1909 4396 4234 2896 4286 4435 4356 1958 3265
275,4219 2646 4384 2865 4233 1966 4440 3077 4361 4313
276,4219 4400 4387 2646 2865 2696 4403 4384 3078 4234
277,4451 4214 2698 3995 2665 4209 4290 2663 2891 4438
278,4396 4328 1907 4286 3168 3467 2802 2462 2511 3436
279,4396 4328 1907 4286 1909 4126 3419 1918 3743 4360
280,4219 4234 4328 4396 2511 4403 1909 4308 4361 4358
281,2943 4361 2791 4389 4178 2646 3006 4219 2794 4440
282,4219 2646 1966 4384 2865 4313 4308 4361 4400 4234
283,4234 4328 4308 4396 4446 1951 4214 1909 4219 2196
284,2895 4524 4440 4015 4017 2896 4329 4357 4236 2808
285,2698 4214 4234 1951 2964 2665 4308 4400 1901 3995
286,4328 1909 4234 4396 4286 1907 4308 1918 4400 1901
287,1951 4256 4314 4234 4328 4224 2152 4081 3734 2295
288,2646 4397 2962 4214 4219 4396 1907 4227 4290 1951
289,2646 4308 4219 4234 4387 4361 2462 4384 2962 1909
290,4234 4219 1951 4308 4153 4050 4362 2646 4384 4045
291,4219 1966 2646 2408 4387 4403 2865 2943 4400 2696
292,4219 2646 4400 4361 3078 4234 2865 3470 4384 2696
293,4219 2646 4389 4384 3565 1966 4308 4361 4313 4440
294,2646 4395 4219 4424 4387 1966 4389 4214 4384 2865
295,4219 4400 1966 2865 2646 2964 4234 4384 4508 3147
296,1951 4308 4320 4214 4234 4219 1901 2646 2698 3483
297,4308 4234 4219 4396 1951 1909 2646 4387 4361 4214
298,4219 2865 1966 4406 3844 2646 2964 4234 4400 2696
299,1966 4219 2943 4361 2037 4384 3470 4313 4419 3748
300,4234 4308 4408 4219 4387 1909 4400 4396 1951 1960
301,4219 4440 2646 4331 4234 4214 4308 4313 2944 3843
302,4374 4307 4112 2155 2219 4068 2156 4440 2244 3775
303,4328 4234 4396 4286 2802 3168 2521 4308 3843 1907
304,4219 2646 4234 4528 2717 3015 4331 2038 4384 4408
305,4234 4214 2698 4328 4362 4396 4286 3889 4367 3265
306,4328 4234 4219 2511 4403 4396 4361 2408 4408 1923
307,4307 3784 4328 1909 2222 4316 4361 4384 4219 4354
308,1951 4234 4286 3467 2551 4320 4331 4301 4214 2962
309,2220 4440 2238 2894 2886 2203 2204 3932 4375 2695
310,1951 2251 2948 2889 2695 4250 4325 4214 4388 4205
311,4219 2865 2646 4400 1966 4384 3470 4234 3078 3006
312,4234 2698 4214 1951 3265 4308 4396 1909 1901 4361
313,1951 4234 4362 4308 4045 4214 4219 3467 4050 2698
314,4308 4396 4328 4234 4286 1907 4214 4400 1909 2698
315,1951 4320 4214 4234 4331 2646 4219 4308 2962 2213
316,4400 4219 4387 4308 2831 4403 4358 4532 1966 4408
317,4328 1909 4234 4286 4396 4308 4400 1907 1901 1918
318,2646 4219 4387 4384 1966 2865 4509 4504 4389 4508
319,4234 4328 4286 1951 4396 4046 4331 1909 4521 3565
320,4219 4384 4361 2646 1966 4313 4233 4312 2865 4309
321,4396 4328 1907 1909 1918 4286 3467 2521 3843 4234
322,1909 4400 2802 3843 2831 3168 2521 4234 4308 2944
323,1966 4219 2646 4400 2865 4509 4384 4234 3482 4098
324,4219 2865 2646 1966 1958 4400 4387 4384 2521 4234
325,4400 4219 1966 4384 4387 2865 2646 4408 4308 2831
326,4328 4396 4286 3436 1907 4370 2802 3168 1909 4308
327,4219 2646 4331 2865 4308 4389 2521 4361 4384 4234
328,4009 4219 2646 3843 1909 2511 4234 3077 4308 4358
329,4219 4400 1966 4387 4408 4308 2646 2865 2831 1909
330,1951 4214 2646 4320 4308 4219 4234 2665 3467 2698
331,4219 2646 4384 4389 3077 4440 2220 4313 3564 4136
332,4214 2698 4451 1951 4308 4234 4290 4366 4219 4227
333,1951 4308 2232 4234 4214 2698 1899 4320 2964 4361
334,4214 2698 4308 1951 4400 4219 4234 4366 4451 1901
335,1951 2220 3128 1899 1901 4375 2198 2243 4202 2948
336,4328 4234 4396 1909 4308 4286 4446 4387 4338 3265
337,4234 4361 1909 2646 3149 4406 4286 4219 4384 4400
338,4219 1951 4424 4395 2698 4214 1918 4234 2408 4403
339,4308 4234 4214 4361 4219 1951 2698 4400 4366 4451
340,4224 2794 4445 4178 4396 4322 4010 4209 2918 4433
341,4387 4219 2646 4384 1966 4532 1958 2696 4400 2865
342,4234 4361 3781 4046 4045 4430 4133 2964 4243 4153
343,4219 2646 4384 2521 4389 4358 4440 4308 2968 4331
344,4219 4234 2646 4328 4308 1951 4396 4446 4361 1909
345,4219 2646 4361 2865 4440 1966 4384 4389 4313 4400
346,4445 4387 1909 1958 2253 4234 4432 4418 4219 2968
347,4400 4219 2646 2865 4387 4403 1966 4361 4406 4384
348,4219 4440 4395 4384 4387 1910 2962 4308 4389 2521
349,4219 2646 4361 1966 4389 2943 4384 2866 3470 3078
350,2865 4219 2646 1966 4400 4509 4384 2866 3567 2696
351,4234 4361 4400 4219 4387 2646 1966 4308 4532 4403
352,4214 2698 4400 4308 4219 1951 4234 4451 4445 4328
353,2062 3147 4110 3150 4411 2060 3261 4205 2857 4109
354,1909 4396 4286 4308 4328 1899 4234 2670 2244 4214
355,4219 2646 4397 2962 4384 4387 4389 4440 4400 2865
356,1909 4328 4234 4286 4396 1958 3265 4338 1901 1918
357,4219 4234 2646 4328 4361 4403 4308 4408 2511 4396
358,1909 4328 4234 4396 1958 4286 4308 4361 1918 4219
359,4219 4400 2865 1966 2646 4408 4234 2831 4403 4407
360,1951 4320 4234 4319 4328 4214 4219 2698 4308 4361
361,2665 4214 4395 4454 4424 2698 3553 4398 4231 1909
362,4361 4384 3689 3055 3168 4234 4400 4308 1951 2944
363,4219 2865 2696 1966 2646 4400 4384 3482 3481 3470
364,4328 1907 1909 4396 4286 4361 4234 2831 4400 1918
365,4440 3151 2857 4109 4205 3149 4404 4515 4545 2663
366,4361 4400 4234 2646 4403 4219 2865 4308 1966 2408
367,4384 1966 4219 4313 3470 3077 3078 2646 4440 4361
368,4234 1951 4308 2698 4214 4361 1909 4227 2462 1899
369,4234 4328 1909 1958 4403 4396 3467 1951 3209 2905
370,1951 4234 3467 4214 4286 2646 2698 4219 4308 4045
371,4445 4451 4209 1951 2695 3626 4402 4413 4178 4436
372,4396 1918 4234 1909 1958 4328 4361 4308 4400 1907
373,4234 4214 4153 1951 4308 4050 3265 2665 4309 3088
374,4219 4400 2646 4234 2865 1966 2831 4308 4331 4502
375,1951 3467 4320 3128 4234 4422 4361 2646 2802 3168
376,4219 2646 2865 1966 4400 4384 2866 4509 2696 4234
377,4219 2646 4331 4234 2865 4261 4326 2831 4098 4400
378,1951 4234 4214 4308 4328 3265 4396 1909 3467 2665
379,4219 4384 2865 4440 2646 3591 4389 4361 4453 4519
380,2646 4400 4219 2865 1966 4403 4361 2831 4234 4308
381,4219 4400 2646 2865 4361 1966 4234 2037 4408 4308
382,1909 4396 4286 4328 3419 4234 1907 4331 4361 3889
383,2202 3862 2201 4234 4551 4440 4370 3859 4433 2928
384,4234 1951 4361 3467 1909 4153 4050 4308 4204 4334
385,1951 4532 4320 3467 4214 2232 4301 4234 4251 4050
386,4219 4384 1966 2865 2696 2646 4400 3470 3078 4313
387,1951 3467 4532 4214 4234 2698 3168 4396 4308 4328
388,4219 2646 4389 4440 4361 4331 2863 2865 4334 4386
389,1951 4234 2698 4400 3467 4214 2646 4286 4403 4219
390,4178 4318 4328 4445 2794 4286 4387 1958 4347 4219
391,4234 4396 4328 2462 2511 4361 4286 1909 1907 2408
392,4328 4234 1909 4286 4396 4308 1960 4338 1918 4400
393,4219 2646 4408 4214 3419 4308 4234 4331 2962 4387
394,1951 2911 2948 3467 4367 1901 4431 4320 3861 4214
395,4440 4276 2922 4395 2220 2155 4373 2171 4207 2923
396,4219 2646 4395 3026 4384 4214 4389 2071 4387 4532
397,1951 4361 4214 4234 4408 2698 4387 4308 2962 1958
398,4395 4454 4424 4361 4329 1842 4234 4528 4523 4526
399,4219 2865 2646 1966 4384 4400 3567 4331 4509 4361
400,4219 4395 2646 4424 4214 4389 3026 4384 4222 4350
401,4400 4219 2831 4403 4408 4532 4234 4308 2646 4387
402,4214 4451 2698 4290 4227 4447 2041 2665 2791 4398
403,4219 2865 1966 2646 2696 4406 3844 4384 4400 2866
404,4219 1966 2646 2865 4384 4400 3470 3567 2696 4509
405,4234 4286 2922 1909 2295 4356 3467 4249 4328 4435
406,4219 4400 4387 2646 4384 2696 1966 2865 4234 4308
407,4328 4286 4396 1899 3436 4234 1907 3265 1909 4214
408,4234 1909 1958 4361 4328 4387 4396 4406 2646 1966
409,1909 4396 4286 4234 4328 1901 2248 4308 4249 4296
410,4234 4308 4403 4331 4400 4219 3467 4361 4358 4302
411,4400 4403 2646 4361 4219 4234 4387 4308 4331 2865
412,4219 4214 2646 4395 3026 4424 4389 2665 4384 4331
413,4328 1909 4396 4234 3780 4286 1918 4308 4400 3889
414,4440 4371 4364 4347 3536 4232 2794 3777 2243 2209
415,1909 4328 4234 2964 4396 4286 4308 4403 1918 1951
416,2646 4219 1966 2865 4384 2521 4400 4387 1958 3055
417,3147 4214 4451 4411 2698 2061 2062 3260 3008 4110
418,1909 4234 4286 4328 4396 1951 4517 4516 3149 4409
419,4400 4219 4384 3127 3078 2696 3470 4308 3482 4234
420,4219 4384 2646 1966 4313 4361 4389 2865 3470 1958
421,4219 4400 2865 2646 1966 4308 4234 2696 4403 4384
422,4308 4234 4387 1909 4219 1951 4400 1918 3088 1910
423,4440 4219 2646 2962 4397 4389 4384 4394 4387 2865
424,4219 4361 2646 4400 2865 4234 4387 1966 4308 1958
425,1951 4308 4214 1901 4532 3265 4387 3467 2698 4234
426,4219 2646 4440 2962 4384 4397 4389 4387 1958 2865
427,1951 4217 3592 4385 3591 4234 4286 4319 4328 4445
428,4234 3996 4153 4050 4308 4361 3561 1960 4400 1951
429,1951 4396 3467 4328 1907 4234 4286 4532 2295 4308
430,4219 1966 2646 2865 4400 4387 4384 4234 4308 4504
431,2865 4219 2646 1966 4406 3844 2696 2866 4400 4384
432,1951 4234 4320 4308 4214 2698 4111 4400 4219 4286
433,4234 1951 4219 2511 4408 4403 4328 4009 1923 4396
434,4387 4219 4009 1909 1923 2646 4396 4408 1958 4400
435,4219 2646 2865 4400 4234 4361 4331 4308 4384 4408
436,4308 4234 4400 4408 4219 1960 4396 4286 4328 4403
437,4219 2646 2962 2865 4384 4397 1966 4361 4331 3567
